words,sentiment_coeff
new,-1.0096140478953002
said,1.0142014241859598
u,-0.9998613997815196
one,-1.0064032063105905
first,1.0181028079982426
omicron,-1.0183713273334543
variant,-1.0036248175884024
people,-0.9999833264850799
covid,-1.0181403342808661
new_york,-0.9970486324293496
two,-1.0083739832689773
says,-1.007463239155288
company,-1.0035197212062545
year,1.0262123936181926
could,0.9941397275094935
years,-1.0006883678437253
omicron_variant,1.0019016707550161
would,-1.0109915954297335
case,-0.9904730327678755
plan,-1.0039938970518427
pandemic,-1.023493926960407
de,1.0191789508730216
trial,1.0044409834899817
whether,1.0147489902927047
china,-0.9985226898475158
school,1.0087181378929884
best,1.0132390030479872
even,-1.0036055272275575
found,1.0154416109379412
known,-0.9979670858957799
death,-1.0037298371881889
know,1.011055122684079
former,-1.014056444462661
city,0.9933177921591566
man,-1.009042896262632
set,-1.0080435577644002
days,0.9929372840699577
coronavirus,-1.0185809366319136
get,1.0227088582123849
deal,1.0059436741169556
workers,1.0078958974807954
make,-1.0102341499615162
abortion,-1.0011881301016896
many,-1.0066977368276109
world,-1.0075433074468707
virus,1.0117900514416727
without,1.0087198818027945
may,-1.0277613479137206
group,1.0256598063539057
global,1.0090767245598493
charges,-0.994787010441699
still,0.9936154289963458
president,0.9988799996025365
latest,-1.011812477832579
say,1.0031147217448206
government,1.001361837867936
take,-1.000193281320883
shot,-1.020607714947114
south_africa,-1.0045861094635167
work,-1.0116230764842054
justice,-1.00781137136276
help,0.9965787914779887
system,-1.0032015795228248
high,1.0053612259142615
times,-1.0153614053987516
back,1.0147216742100527
year_old,1.0013012812943969
rights,-1.0034943246730954
others,-1.0275091494742692
life,0.9963830417128727
officials_said,-1.0100619303932865
women,-1.0009741604630455
vaccination,-1.0499110483604848
gun,-1.0072741949180846
vaccine,-1.0087305920895904
never,1.0045296968890394
comes,1.0087858709695106
travel,1.0376456766794426
law,1.0103800848526743
state,1.014927886760383
international,1.0025399621723325
like,-1.0317175213512104
happen,-1.0113128396141926
money,-1.0199139994014035
country,1.0058334930875452
used,-1.0030397382910823
states,-0.998649034109132
big,0.9970263194113272
since,1.013206650907421
force,-1.0068361836069804
mr,1.0183954597614135
become,-1.0338461528229883
covid_cases,0.996248503330806
got,-1.0095714487873506
black,-1.0106523782818668
history,0.996627945493507
already,1.0009766333261412
israeli,1.0087626436245194
bought,-0.9995892863333651
spread,1.0398461537572712
tests,1.0095245222587221
dies,1.0081666286733688
opinion,1.0059788508822347
custody,1.000656919931969
home,-0.9994148486675386
